ID	StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity	CancerType
TCGA-FE-A230-01A	-630.208931049546	1135.97842235048	505.769491300932	0.778057729138108	THCA
TCGA-DJ-A3VE-01A	-273.422053084757	-30.8595830115787	-304.281636096336	0.847083925601317	THCA
TCGA-ET-A3BV-01A	540.015918871	1003.66639932417	1543.68231819517	0.673707612521381	THCA
TCGA-DE-A0Y3-01B	-1050.10764280008	-109.743983365751	-1159.85162616583	0.90698192117986	THCA
TCGA-EL-A3CX-01A	-683.839521894915	180.96308577577	-502.876436119145	0.862214613853689	THCA
TCGA-IM-A3U2-01A	-255.379808059198	188.670156204691	-66.7096518545075	0.828039184594584	THCA
TCGA-EM-A4FR-01A	-786.114731614268	128.854412325702	-657.260319288566	0.873471404132724	THCA
TCGA-EM-A1YA-01A	-702.011199900096	-623.077455351874	-1325.08865525197	0.916929560979253	THCA
TCGA-DJ-A2Q0-01A	-492.219666177587	-308.436945651799	-800.656611829386	0.883525354576573	THCA
TCGA-DJ-A2Q2-01A	-249.955937395355	297.444476080981	47.4885386856258	0.818524791053675	THCA
TCGA-DJ-A3VF-01A	997.240242549308	1296.18054411517	2293.42078666448	0.588467066089645	THCA
TCGA-BJ-A2NA-01A	-292.813889572116	518.463143030632	225.649253458516	0.803223086752803	THCA
TCGA-EL-A3CZ-01A	-612.454695291	-325.763039391329	-938.217734682329	0.892802370106941	THCA
TCGA-EL-A3CW-01A	-92.874689815657	1718.08382338866	1625.209133573	0.66481585199295	THCA
TCGA-BJ-A0ZH-01A	-471.338203722018	554.236824407246	82.8986206852281	0.815527767200167	THCA
TCGA-EM-A22Q-01A	-462.985580765361	124.964883414064	-338.020697351297	0.849705579443679	THCA
TCGA-BJ-A2N9-01A	-757.162869517454	936.920732975591	179.757863458137	0.807217514181757	THCA
TCGA-DE-A0Y2-01A	-791.618360608983	25.5239217200142	-766.094438888969	0.881137733046379	THCA
TCGA-DJ-A3V9-01A	-129.185055208861	302.35988804929	173.174832840428	0.807787507138415	THCA
TCGA-BJ-A18Z-01A	340.824316581267	511.100479154558	851.924795735824	0.745147807333793	THCA
TCGA-EM-A2OV-01A	-1014.55107069422	-559.966360868901	-1574.51743156312	0.930922264362874	THCA
TCGA-EM-A3O8-01A	-844.928653582685	-715.592941392682	-1560.52159497537	0.930169988076925	THCA
TCGA-E8-A432-01A	366.470598215523	443.182302508613	809.652900724136	0.749271562237004	THCA
TCGA-E8-A436-01A	-71.8284003659593	1113.01302360232	1041.18462323636	0.726335430221015	THCA
TCGA-BJ-A45D-01A	-287.495187256099	633.91250281669	346.417315560591	0.792537634502688	THCA
TCGA-EM-A2P1-01A	543.017433277654	2470.31612039616	3013.33355367382	0.499902948656675	THCA
TCGA-EL-A3H4-01A	-568.432285365265	-89.859482113283	-658.291767478548	0.873545109318472	THCA
TCGA-EL-A3T1-01A	-152.487302199356	1161.96041126108	1009.47310906172	0.729527038396283	THCA
TCGA-KS-A41J-01A	-602.06885770336	1156.02197029621	553.953112592854	0.773595225493556	THCA
TCGA-E8-A419-01A	-374.616256037509	1738.00655923856	1363.39030320105	0.69302683326982	THCA
TCGA-FY-A3NM-01A	-961.556436552636	-867.674022313154	-1829.23045886579	0.943923559013504	THCA
TCGA-FY-A4B0-01A	-380.188705269509	-32.0179500552831	-412.206655324793	0.855396728530592	THCA
TCGA-DE-A2OL-01A	-1024.18120585625	-1137.44145782955	-2161.6226636858	0.958902983121664	THCA
TCGA-DJ-A13T-01A	-617.251456614574	-87.2200772779961	-704.47153389257	0.876824478108516	THCA
TCGA-E8-A434-01A	-344.579100277565	-5.04892537929291	-349.628025656858	0.850602698069487	THCA
TCGA-DE-A0XZ-01A	-134.118289726883	1198.6443513992	1064.52606167231	0.723976169792883	THCA
TCGA-FY-A3RA-01A	-960.272995150584	-252.263855433634	-1212.53685058422	0.910211914710767	THCA
TCGA-DE-A4MC-01A	-437.837560463911	1196.33435495313	758.496794489217	0.754223404475576	THCA
TCGA-DO-A2HM-01B	584.507373054893	2816.64546674034	3401.15283979523	0.449816028748844	THCA
TCGA-E8-A433-01A	72.2701621637077	836.367443165958	908.637605329666	0.739570259384154	THCA
TCGA-ET-A25R-01A	-311.058758960796	492.081543589949	181.022784629153	0.807107904395021	THCA
TCGA-BJ-A3PR-01A	454.816658565561	2927.06543229331	3381.88209085887	0.452340617786999	THCA
TCGA-FY-A40N-01A	-754.359884065128	403.834354855185	-350.525529209942	0.850671962394047	THCA
TCGA-EL-A3CT-01A	333.782461589946	750.230967145259	1084.01342873521	0.721999952727795	THCA
TCGA-J8-A4HW-01A	-606.018543154928	-698.452738021601	-1304.47128117653	0.91571768499625	THCA
TCGA-BJ-A0ZB-01A	-506.188088872819	-88.4785826757946	-594.666671548614	0.868961176142617	THCA
TCGA-ET-A39N-01A	-489.925397561845	-248.21422697361	-738.139624535455	0.879189967523946	THCA
TCGA-DJ-A3US-01A	-273.470976405904	1687.02136565284	1413.55038924693	0.687700080980547	THCA
TCGA-IM-A4EB-01A	37.9375873089747	1371.49547773408	1409.43306504306	0.688138728838868	THCA
TCGA-EL-A3GS-01A	-889.992142250991	-96.9141009391867	-986.906243190178	0.895998856100719	THCA
TCGA-DJ-A3V5-01A	4.94149274771351	293.734966747011	298.676459494724	0.796791659135041	THCA
TCGA-CE-A3ME-01A	-856.027127271805	139.310513109213	-716.716614162592	0.877687287391923	THCA
TCGA-DE-A69J-01A	-654.863154188268	313.967221351865	-340.895932836403	0.84992803341127	THCA
TCGA-L6-A4ET-01A	-1098.09642226496	-546.521808993127	-1644.61823125808	0.934630994818503	THCA
TCGA-J8-A3YH-01A	-383.105213015342	-99.2905973960248	-482.395810411366	0.860687889902986	THCA
TCGA-EM-A2CP-01A	201.25456299123	2389.68691873779	2590.94148172903	0.552606976831416	THCA
TCGA-EL-A3ZH-01A	-988.360877908059	-313.812503864473	-1302.17338177253	0.915582096261017	THCA
TCGA-EL-A3GY-01A	-403.471591578641	755.34656345659	351.874971877949	0.792048838436407	THCA
TCGA-DJ-A2Q4-01A	-560.555669476517	395.847298825349	-164.708370651169	0.836018518091123	THCA
TCGA-EM-A2CS-06A	-233.01399814621	-129.091778976645	-362.105777122856	0.851564336741738	THCA
TCGA-ET-A39S-01A	-202.755424807784	14.6943101595773	-188.061114648207	0.837894502044171	THCA
TCGA-EM-A4FF-01A	-154.520041851978	833.158057442697	678.638015590719	0.761868508365525	THCA
TCGA-EL-A3GZ-01A	-177.197288638818	167.130406839158	-10.0668817996602	0.823348923376058	THCA
TCGA-DJ-A13U-01A	-825.363816561932	-100.535842007997	-925.899658569928	0.891986432165835	THCA
TCGA-FK-A3SE-01A	-459.002606445005	-64.3319265793256	-523.334533024331	0.863731878611426	THCA
TCGA-J8-A4HW-06A	-61.9929537572221	1949.11474818277	1887.12179442555	0.635612414868541	THCA
TCGA-BJ-A28V-01A	-948.042934697707	-1063.90977731832	-2011.95271201602	0.95243848956536	THCA
TCGA-DJ-A3VL-01A	101.114703288325	1537.20663758414	1638.32134087247	0.663376841652232	THCA
TCGA-DJ-A3V4-01A	-130.115182822434	300.133100148041	170.017917325607	0.808060581710606	THCA
TCGA-EM-A4FK-01A	-1197.8813536602	-856.833025800663	-2054.71437946086	0.954332484690433	THCA
TCGA-EL-A3CP-01A	-365.329081523734	-426.489689487069	-791.818771010803	0.882916981081863	THCA
TCGA-ET-A3BX-01A	-971.630577908538	296.503610487625	-675.126967420913	0.874745286439619	THCA
TCGA-E8-A2EA-01A	466.90305379081	1994.6374886818	2461.54054247261	0.568337200484295	THCA
TCGA-J8-A3O2-06A	-760.37621141211	6.93561923620619	-753.440592175904	0.880257906022663	THCA
TCGA-E8-A416-01A	-267.42174848524	-51.2635355916947	-318.685284076935	0.84820568936859	THCA
TCGA-EL-A3GU-01A	482.692650829242	228.846982104358	711.5396329336	0.758731365928333	THCA
TCGA-EM-A1YE-01A	-537.797327705304	-520.035730557114	-1057.83305826242	0.900573387193587	THCA
TCGA-ET-A3DV-01A	-1197.08158355178	-980.445598915287	-2177.52718246707	0.959562774770718	THCA
TCGA-DJ-A2PP-01A	-1082.62672247506	-866.826668516992	-1949.45339099205	0.949602793095892	THCA
TCGA-EM-A2OY-01A	-1054.21911030554	-729.124771739734	-1783.34388204527	0.941678304890653	THCA
TCGA-EM-A3AN-01A	-429.733218262578	89.9447948575189	-339.788423405059	0.849842364487301	THCA
TCGA-BJ-A28R-01A	-494.364558327602	962.441315577462	468.076757249861	0.781521502565195	THCA
TCGA-BJ-A2N7-01A	-475.357988931924	-356.867297195507	-832.225286127431	0.885686309428319	THCA
TCGA-EL-A4K1-01A	16.6922811012936	604.969758261558	621.662039362852	0.767259047745253	THCA
TCGA-BJ-A3F0-01A	-255.796398615846	-252.593388924546	-508.389787540392	0.862624274810588	THCA
TCGA-BJ-A18Y-01A	-286.038060777999	-324.089674910522	-610.127735688522	0.870082070485827	THCA
TCGA-KS-A4IC-01A	-619.794156158889	291.620605496169	-328.17355066272	0.848942569393608	THCA
TCGA-ET-A3BW-01A	-772.291097637494	-411.315174547868	-1183.60627218536	0.908444983285737	THCA
TCGA-FE-A22Z-01A	10.5204373764278	211.813171746043	222.333609122471	0.803512907137168	THCA
TCGA-EL-A3ZO-01A	356.884382080721	1650.90272501831	2007.78710709903	0.621839410327196	THCA
